Display Name	Priority	Description
Attribute_Has_Multiple_Values	High	"Instances which have more than one value in a specified attribute, e.g. a Complex assigned to multiple Compartments."
Attribute_Has_Only_One_Value	High	"Instances with only one value for specified attributes, e.g, Pathway with only one hasEvent."
Attribute_Value_Duplication	High	"Instances with duplicate entries for a given attribute, e.g. literature reference listed twice."
Attribute_Value_Missing	High	"Instances without a value for specified (non-mandatory) attributes, e.g. BBE should have inputs and outputs (though not mandatory). Gene expression and Degradation events are put on skip list."
CatalystActivity_PhysicalEntity_ActivityUnit_Refers_To_Same_Complex	High	CatalystActivities whose physicalEntity and activeUnit refer to the same Complex.
Chimerism_Reference_Constraint_Violations	High	"Chimeric instances with less than two species or not used for inference, non-chimeric instances with more than two species or with a chimeric participant."
Complex_Compartment_Inconsistency	High	"Complexes exhibiting any of the following compartment inconsistencies: 1) the Complex does not have exactly one compartment, 2) the Complex compartment is not a subunit compartment, 3) there are more than two compartments in all of the Complex subunits, or 4) there are two compartments in all of the subunits but they are not adjacent."
Complex_Components_Species_Mismatch	High	Complexes whose species does not exactly equal the species of its components. Both the species and relatedSpecies slot values are used.
DatabaseObject_With_Self_Loop	High	DatabaseObects which refer to itself.
DatabaseObject_Without_Created	High	DatabaseObects missing a created slot value.
Deleted_Objects_In_Diagram	Blocker	Diagrams representing objects which were deleted from the database.
Diagram_Compartment_Label_Missing	Blocker	Diagram compartment nodes whose name label is missing.
Diagram_Compartment_Label_Occluded	High	Diagram compartment nodes whose name label is not easily readable.
Diagram_Empty_Check	Blocker	Diagrams without pathway components.
Diagram_Extra_ReactionLikeEvents		Diagrams with ReactionLikeEvents that are drawn but should not be. A RLE contained in the diagram database pathways should be drawn if and only if its parent pathway is not drawn as a ProcessNode.
Diagram_Missing_Reactions	Blocker	Reactions contained in a Pathway which are not drawn in the pathway diagram.
Diagram_EWAS_Modification_Mismatch		EntityWithAccessionedSequence instances with incorrectly displayed modification attachments.
Diagram_Overlapping_Entities	Medium	Diagrams with overlapping entity representations.
Diagram_Overlapping_Reactions	Medium	Diagrams with overlapping reaction representations.
Diagram_Reactions_Type_Mismatch		Diagrams whose drawn reaction type differs from the annotated type.
Diagram_Reactions_With_Participant_Overlapping_Hub	Medium	Diagram reactions with a participant branch which overlaps the connection hub.
